SNAP,Approved,Cassandra Smith,20000
SNAP,Approved,Melissa Petersen,15000
SNAP,Denied,Roger Foster,36000
SNAP,Denied,Catherine Lee,12800
CCAP,Approved,Mike Padilla,18000
CCAP,Approved,Joshua Graves,60000
CCAP,Denied,Christina Powell,45000
CCAP,Denied,Ashley Schultz,23000
Mediclaid,Approved,Sara Hale,41000
Mediclaid,Approved,Jonathan Perez,65000
Mediclaid,Denied,Derek Wilson,24000
Mediclaid,Denied,Evan Cardenas,16000
Medicare,Approved,Christopher Carter,78000
Medicare,Approved,Danielle Bowman,36000
Medicare,Denied,Anna Ferguson,42000
Medicare,Denied,Richard Rogers,10800
QHP,Approved,Chloe Harrison,58000
QHP,Approved,Jon Parker,41800
QHP,Denied,William Wood,38000
QHP,Denied,Christopher Carroll,73000
